"participantGUID","pid","Protocol","ageGroup","d_arrive","d_sacrifice","Intervention","SacrificeTime","ANIRandGroup","siteName"
"FE012DC0-AF32-4C70-A4D4-F042B8BC4EC6",10411690,2,1,"04SEP2018","06DEC2018",2,10,"Four-week program",940
"6D680EA2-C62B-4A35-8B6E-2ED6A79CB017",10417702,2,1,"09OCT2018","21JAN2019",2,8,"One-week program",940
"53F914B0-FD4F-4340-84A6-48341EAB3798",10422463,2,1,"09OCT2018","21JAN2019",2,8,"One-week program",940
"D350D633-8D95-4783-99F2-BB8294D2EC32",10424911,2,1,"09OCT2018","21JAN2019",2,8,"One-week program",940
"B66A9193-2CD9-4E23-A066-8C48A30010F3",10434046,2,1,"09OCT2018","28JAN2019",2,9,"Two-week program",940
"0F5E016C-AA02-411A-B871-FD3604F41688",10436170,2,1,"09OCT2018","28JAN2019",2,9,"Two-week program",940
"AACE8932-37ED-43D7-B10A-8D3677D974AB",10471596,2,1,"09OCT2018","21JAN2019",2,8,"One-week program",940
"95E4BFB1-7EFB-47D5-B3C2-244F7E504E31",10472053,2,1,"09OCT2018","28JAN2019",2,9,"Two-week program",940
"5EBA29AF-F5C6-4472-B475-2C4061E258A9",10478337,2,1,"09OCT2018","21JAN2019",2,8,"One-week program",940
"4E974304-21EB-42E8-A729-A7FB6B406E64",10486003,2,1,"09OCT2018","28JAN2019",2,9,"Two-week program",940
"C5D70AE4-26B3-4AE1-ADE0-51B172E169A4",10496580,2,1,"09OCT2018","28JAN2019",2,9,"Two-week program",940
"6527EC12-E7EB-4F17-BF0A-0AC7CD1819A0",10502300,2,1,"09OCT2018","29JAN2019",2,9,"Two-week program",940
"0DBFEB04-1B58-43CF-BAFD-9AA9915B67F6",10503110,2,1,"09OCT2018","22JAN2019",2,8,"One-week program",940
"4C959FD4-3EBD-4A3A-8789-5E937C7AC122",10531599,2,1,"09OCT2018","29JAN2019",2,9,"Two-week program",940
"F044B091-EDF1-4945-8245-54AFA30B607C",10536558,2,1,"09OCT2018","22JAN2019",2,8,"One-week program",940
"B06F2EA8-A9A6-4C62-A2CB-A82858AACA62",10543767,2,1,"09OCT2018","22JAN2019",2,8,"One-week program",940
"E8C133F4-00E4-429F-9511-5936C7F8DA2D",10553053,2,1,"09OCT2018","22JAN2019",2,8,"One-week program",940
"10E282EB-1DBA-406E-BD5D-81027083A01D",10561072,2,1,"09OCT2018","22JAN2019",2,8,"One-week program",940
"E327718E-79B7-47B3-867D-CDCB280E083D",10564179,2,1,"09OCT2018","29JAN2019",2,9,"Two-week program",940
"AEB1611A-F29E-43F8-B9F3-A2BC4F9EB504",10587543,2,1,"09OCT2018","29JAN2019",2,9,"Two-week program",940
"C80389B4-1F28-4168-9A1A-315144F813A2",10589325,2,1,"09OCT2018","29JAN2019",2,9,"Two-week program",940
"2F75A7DF-67C5-4A01-A0D1-0D151A26AFCF",10591575,2,1,"09OCT2018","30JAN2019",2,9,"Two-week program",940
"EB3DE417-8554-4EBF-BCEA-598AFB3BA82D",10611193,2,1,"09OCT2018","30JAN2019",2,9,"Two-week program",940
"92D9EA73-473D-4E06-B933-8C88D7D653E2",10616233,2,1,"09OCT2018","23JAN2019",2,8,"One-week program",940
"58E15DEB-7B74-4766-98BB-F34535106610",10619259,2,1,"09OCT2018","23JAN2019",2,8,"One-week program",940
"43BD57B9-D96D-40F2-9DAC-B8EC66985018",10621903,2,1,"09OCT2018","23JAN2019",2,8,"One-week program",940
"F2B9457C-D3B0-4DDA-8D03-AAC5F84A7C35",10637079,2,1,"09OCT2018","30JAN2019",2,9,"Two-week program",940
"FDA87A8D-3634-4C42-9A1A-0EA03B58BB01",10641858,2,1,"09OCT2018","30JAN2019",2,9,"Two-week program",940
"CDCFA3F1-07ED-4737-A36D-15EFEC325AA5",10672656,2,1,"09OCT2018","30JAN2019",2,9,"Two-week program",940
"46FD337F-BE5D-4AA8-A2A0-EE69CA5E937D",10675086,2,1,"09OCT2018","23JAN2019",2,8,"One-week program",940
"2855419F-A777-4E46-B1A0-32CCCC5B2FF0",10677887,2,1,"09OCT2018","23JAN2019",2,8,"One-week program",940
"3ACB7BEF-CEF8-4917-B669-52C6EF13FCB3",10680837,2,1,"14NOV2018","04MAR2019",2,9,"Two-week program",940
"EA5C8932-9325-4DA5-96BB-50CD49CEDD10",10700102,2,1,"14NOV2018","25FEB2019",2,8,"One-week program",940
"C39CD6E3-F345-4BCC-8D78-50993FEAF0D6",10702741,2,1,"14NOV2018","04MAR2019",2,9,"Two-week program",940
"B137E81D-A9DE-4E3A-8E2B-AD6C22920B7E",10729518,2,1,"14NOV2018","04MAR2019",2,9,"Two-week program",940
"33C31E41-FBFC-4CD7-A571-0A04A8102C93",10732306,2,1,"14NOV2018","04MAR2019",2,9,"Two-week program",940
"DC8B35E8-4AA8-4829-8569-F223D069620C",10734945,2,1,"14NOV2018","04MAR2019",2,9,"Two-week program",940
"B4210E3A-7CF8-47C3-BB77-2A0B7BDC711F",10742611,2,1,"14NOV2018","05MAR2019",2,9,"Two-week program",940
"E59E5D6B-8DF1-4B57-946A-83E1B5B21BF4",10756086,2,1,"14NOV2018","05MAR2019",2,9,"Two-week program",940
"C8E780A3-D885-480F-ABE2-228BD1EC2551",10760008,2,1,"14NOV2018","26FEB2019",2,8,"One-week program",940
"8904857C-2073-4BBA-AC7C-1EC239E5BFF7",10761160,2,1,"14NOV2018","05MAR2019",2,9,"Two-week program",940
"54D98718-9747-4363-A70E-18A07E8B62B2",10770666,2,1,"14NOV2018","27FEB2019",2,8,"One-week program",940
"CC81DD9B-0AF7-4265-A5CC-BDA1121782DB",10780629,2,1,"14NOV2018","27FEB2019",2,8,"One-week program",940
"485F7778-EA0D-417E-8129-3029E883C844",10782168,2,1,"14NOV2018","06MAR2019",2,9,"Two-week program",940
"526B5515-7CFF-4210-A635-EDEE77285D1F",10784616,2,1,"14NOV2018","27FEB2019",2,8,"One-week program",940
"7F8CA070-5149-4956-BF9E-A25DE1A7C16C",10830073,2,1,"14NOV2018","06MAR2019",2,9,"Two-week program",940
"0645F621-878C-4C9B-84A6-58862BAA17D9",10833331,2,1,"14NOV2018","27FEB2019",2,8,"One-week program",940
"423DF93B-9F85-4A93-9074-FECBEC99906D",10858679,2,1,"14NOV2018","06MAR2019",2,9,"Two-week program",940
"1F9BD644-303F-43E7-94BE-FF6654306F5E",10871349,2,1,"14NOV2018","06MAR2019",2,9,"Two-week program",940
"DF8ECF52-54B4-463A-8582-6D82C1FA1AC8",10877894,2,1,"14NOV2018","06MAR2019",2,9,"Two-week program",940
"1CA4E801-3BB2-488F-BAE0-A27FBA8B728F",10886028,2,1,"14NOV2018","27FEB2019",2,8,"One-week program",940
"B679AFD2-5D5B-43D8-A7F9-DFFADD44657E",10901000,2,1,"14NOV2018","25FEB2019",2,8,"One-week program",940
"68083256-8DAA-4185-B446-0CAF600474B5",10901434,2,1,"14NOV2018","25FEB2019",2,8,"One-week program",940
"9CD912BD-75DB-4945-ACF4-93BB652CC0CE",10914331,2,1,"14NOV2018","25FEB2019",2,8,"One-week program",940
"7409ABEA-6EA0-4DA0-A848-702CE19A0C77",10934529,2,1,"14NOV2018","25FEB2019",2,8,"One-week program",940
"B73AB139-7210-4498-9CCF-E1DBE6EBA71C",10950486,2,1,"14NOV2018","26FEB2019",2,8,"One-week program",940
"5D1C1DD9-A59D-48C5-A1DC-363CB7AF6C63",10950648,2,1,"14NOV2018","26FEB2019",2,8,"One-week program",940
"6A013AA1-4D1E-4B75-B691-6BA22D928E51",10953744,2,1,"14NOV2018","26FEB2019",2,8,"One-week program",940
"1FE0D417-8CCB-46CE-B42F-E1210F63B9FE",10962735,2,1,"14NOV2018","26FEB2019",2,8,"One-week program",940
"0409BED3-F9FE-4C06-9920-74F5E5CA04A3",10971645,2,1,"14NOV2018","05MAR2019",2,9,"Two-week program",940
"5C974C96-BDF7-4125-BB16-01035A7A9FF1",10972374,2,1,"14NOV2018","05MAR2019",2,9,"Two-week program",940

